Species,Bd detection,Sample,Locality
Agalychnis callidryas,Positive,Contemporary,"Ocozocoautla de Espinosa, Chiapas"
Agalychnis callidryas,Positive,Contemporary,"Tzucacab, Yucatan"
Agalychnis dacnicolor,Negative,Contemporary,"Villa de Alvarez, Colima"
Agalychnis dacnicolor,Positive,Contemporary,"La Huerta, Jalisco"
Agalychnis dacnicolor,Positive,Historical,"Mugica, Michoacan de Ocampo"
Agalychnis dacnicolor,Negative,Historical,"Mugica, Michoacan de Ocampo"
Agalychnis dacnicolor,Negative,Historical,"Mugica, Michoacan de Ocampo"
Agalychnis dacnicolor,Positive,Contemporary,"Amacuzac, Morelos"
Agalychnis dacnicolor,Positive,Contemporary,"Tlaquiltenango, Morelos"
Agalychnis dacnicolor,Positive,Historical,"Culiacan, Sinaloa"
Agalychnis dacnicolor,Negative,Historical,"Culiacan, Sinaloa"
Agalychnis dacnicolor,Positive,Historical,"Mazatlan, Sinaloa"
Agalychnis dacnicolor,Positive,Historical,"Mazatlan, Sinaloa"
Agalychnis dacnicolor,Negative,Historical,"Mazatlan, Sinaloa"
Agalychnis dacnicolor,Positive,Contemporary,"Mazatlan, Sinaloa"
Agalychnis dacnicolor,Positive,Contemporary,"Mazatlan, Sinaloa"
Agalychnis dacnicolor,Positive,Historical,"Alamos, Sonora"
Agalychnis dacnicolor,Positive,Historical,"Alamos, Sonora"
Agalychnis dacnicolor,Positive,Historical,"Alamos, Sonora"
Agalychnis dacnicolor,Positive,Historical,"Alamos, Sonora"
Agalychnis moreletii,Positive,Contemporary,"Escuintla, Chiapas"
Agalychnis moreletii,Positive,Contemporary,"Escuintla, Chiapas"
Agalychnis moreletii,Positive,Contemporary,"Palenque, Chiapas"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Negative,Contemporary,"Atoyac de Alvarez, Guerrero"
Agalychnis moreletii,Positive,Contemporary,"Tezonapa, Veracruz de Ignacio de la Llave"
Ambystoma altamirani,Positive,Historical,"Alvaro Obregon, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"Cuajimalpa de Morelos, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"Cuajimalpa de Morelos, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Positive,Historical,"La Magdalena Contreras, Ciudad de Mexico"
Ambystoma altamirani,Negative,Historical,"Huitzilac, Morelos"
Ambystoma altamirani,Negative,Historical,"Huitzilac, Morelos"
Ambystoma altamirani,Negative,Historical,"Huitzilac, Morelos"
Ambystoma altamirani,Positive,Historical,"Huitzilac, Morelos"
Ambystoma altamirani,Negative,Historical,"Huitzilac, Morelos"
Ambystoma lermaense,Negative,Historical,"Lerma, Mexico"
Ambystoma lermaense,Negative,Historical,"Lerma, Mexico"
Ambystoma lermaense,Negative,Historical,"Lerma, Mexico"
Ambystoma lermaense,Negative,Historical,"Lerma, Mexico"
Ambystoma lermaense,Negative,Historical,"Lerma, Mexico"
Ambystoma mexicanum,Positive,Historical,"Gustavo A. Madero, Ciudad de Mexico"
Ambystoma mexicanum,Negative,Historical,"Xochimilco, Ciudad de Mexico"
Ambystoma rivulare,Positive,Contemporary,"San Jose del Rincon, Mexico"
Ambystoma rivulare,Positive,Contemporary,"San Jose del Rincon, Mexico"
Ambystoma rivulare,Positive,Contemporary,"Senguio, Michoacan de Ocampo"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Positive,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus boreas,Negative,Contemporary,"Ensenada, Baja California"
Anaxyrus cognatus,Positive,Historical,"Mazapil, Zacatecas"
Anaxyrus cognatus,Positive,Historical,"Mazapil, Zacatecas"
Anaxyrus cognatus,Positive,Historical,"Mazapil, Zacatecas"
Anaxyrus punctatus,Positive,Historical,"Los Cabos, Baja California Sur"
Anaxyrus punctatus,Positive,Historical,"Los Cabos, Baja California Sur"
Anaxyrus punctatus,Positive,Historical,"Los Cabos, Baja California Sur"
Anaxyrus punctatus,Positive,Historical,"Los Cabos, Baja California Sur"
Anaxyrus punctatus,Negative,Contemporary,"Guanajuato, Guanajuato"
Anaxyrus punctatus,Negative,Contemporary,"Guanajuato, Guanajuato"
Anaxyrus punctatus,Negative,Contemporary,"Guanajuato, Guanajuato"
Anotheca spinosa,Positive,Contemporary,"Ixtaczoquitlan, Veracruz de Ignacio de la Llave"
Aquiloeurycea cafetalera,Negative,Contemporary,"Tlacolulan, Veracruz de Ignacio de la Llave"
Aquiloeurycea cafetalera,Negative,Contemporary,"Villa Aldama, Veracruz de Ignacio de la Llave"
Aquiloeurycea cephalica,Negative,Historical,"Tlalpan, Ciudad de Mexico"
Aquiloeurycea cephalica,Positive,Historical,"Xochimilco, Ciudad de Mexico"
Aquiloeurycea cephalica,Negative,Historical,"Huitzilac, Morelos"
Aquiloeurycea cephalica,Negative,Historical,"Huitzilac, Morelos"
Aquiloeurycea cephalica,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Aquiloeurycea cephalica,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Aquiloeurycea cephalica,Negative,Historical,"Acajete, Veracruz de Ignacio de la Llave"
Aquiloeurycea cephalica,Positive,Historical,"Villa Aldama, Veracruz de Ignacio de la Llave"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea galeanae,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea praecellens,Negative,Historical,"Teocelo, Veracruz de Ignacio de la Llave"
Aquiloeurycea praecellens,Negative,Historical,"Teocelo, Veracruz de Ignacio de la Llave"
Aquiloeurycea praecellens,Negative,Historical,"Teocelo, Veracruz de Ignacio de la Llave"
Aquiloeurycea praecellens,Negative,Historical,"Teocelo, Veracruz de Ignacio de la Llave"
Aquiloeurycea scandens,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea scandens,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea scandens,Negative,Contemporary,"General Zaragoza, Nuevo Leon"
Aquiloeurycea scandens,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Gomez Farias, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Aquiloeurycea scandens,Negative,Contemporary,"Hidalgo, Tamaulipas"
Bolitoglossa franklini,Negative,Contemporary,"La Concordia, Chiapas"
Bolitoglossa franklini,Negative,Contemporary,"La Concordia, Chiapas"
